painting,paintingLabel,creator,creatorLabel,movement,movementLabel,museum,museumLabel,image
http://www.wikidata.org/entity/Q31073823,El último día de Numancia,http://www.wikidata.org/entity/Q4714726,Alejo Vera,http://www.wikidata.org/entity/Q37068,Romanticismo,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Numancia%20Alejo%20Vera%20Estaca%201881.jpg
http://www.wikidata.org/entity/Q208758,Las Meninas,http://www.wikidata.org/entity/Q297,Diego Velázquez,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Las%20Meninas%2C%20by%20Diego%20Vel%C3%A1zquez%2C%20from%20Prado%20in%20Google%20Earth.jpg
http://www.wikidata.org/entity/Q1115403,Felipe IV,http://www.wikidata.org/entity/Q297,Diego Velázquez,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Retrato%20de%20Felipe%20IV%20en%20armadura%2C%20by%20Diego%20Vel%C3%A1zquez.jpg
http://www.wikidata.org/entity/Q1133420,La rendición de Breda,http://www.wikidata.org/entity/Q297,Diego Velázquez,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Velazquez-The%20Surrender%20of%20Breda.jpg
http://www.wikidata.org/entity/Q59689172,Socorro de Brisach,http://www.wikidata.org/entity/Q5655766,Jusepe Leonardo,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Leonardo-socorro%20de%20brisach.jpg
http://www.wikidata.org/entity/Q59712135,Hércules vence al rey Gerión,http://www.wikidata.org/entity/Q209615,Francisco de Zurbarán,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/H%C3%A9rcules%20vence%20al%20rey%20Geri%C3%B3n%2C%20por%20Zurbar%C3%A1n.jpg
http://www.wikidata.org/entity/Q167536,El gran masturbador,http://www.wikidata.org/entity/Q5577,Salvador Dalí,http://www.wikidata.org/entity/Q39427,surrealismo,http://www.wikidata.org/entity/Q460889,Museo Nacional Centro de Arte Reina Sofía,http://commons.wikimedia.org/wiki/Special:FilePath/El%20gran%20masturbador.jpg
http://www.wikidata.org/entity/Q175036,Guernica,http://www.wikidata.org/entity/Q5593,Pablo Picasso,http://www.wikidata.org/entity/Q39427,surrealismo,http://www.wikidata.org/entity/Q460889,Museo Nacional Centro de Arte Reina Sofía,http://commons.wikimedia.org/wiki/Special:FilePath/Mural%20del%20%22Guernica%22%20de%20Picasso.jpg
http://www.wikidata.org/entity/Q18924047,El baño del caballo,http://www.wikidata.org/entity/Q351746,Joaquín Sorolla,http://www.wikidata.org/entity/Q38166,arte moderno,http://www.wikidata.org/entity/Q1592523,Museo Sorolla,http://commons.wikimedia.org/wiki/Special:FilePath/Joaqu%C3%ADn%20Sorolla%20y%20Bastida%20-%20The%20Horse%E2%80%99s%20Bath%20-%20Google%20Art%20Project.jpg
http://www.wikidata.org/entity/Q24951450,"Carlos II, con armadura",http://www.wikidata.org/entity/Q833224,Juan Carreño de Miranda,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Carreno%20de%20Miranda%20023.jpg
http://www.wikidata.org/entity/Q27700308,Inmaculada Concepción,http://www.wikidata.org/entity/Q209615,Francisco de Zurbarán,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Zurbar%C3%A1n%20-%20La%20Inmaculada%20Concepci%C3%B3n%2C%20Hacia%201635%2C%20P008214.jpg
http://www.wikidata.org/entity/Q27700855,Hércules y el toro de Creta,http://www.wikidata.org/entity/Q209615,Francisco de Zurbarán,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/H%C3%A9rcules%20y%20el%20toro%20de%20Creta%2C%20por%20Zurbar%C3%A1n.jpg
http://www.wikidata.org/entity/Q27700857,El socorro de Génova por el II marqués de Santa Cruz,http://www.wikidata.org/entity/Q604088,Antonio de Pereda,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/El%20socorro%20de%20G%C3%A9nova%20por%20el%20II%20marqu%C3%A9s%20de%20Santa%20Cruz%20%28Antonio%20de%20Pereda%29.jpg
http://www.wikidata.org/entity/Q27700859,Hércules y el jabalí de Erimanto,http://www.wikidata.org/entity/Q209615,Francisco de Zurbarán,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/H%C3%A9rcules%20y%20el%20jabal%C3%AD%20de%20Erimanto%2C%20por%20Zurbar%C3%A1n.jpg
http://www.wikidata.org/entity/Q27700863,Hércules y el Cancerbero,http://www.wikidata.org/entity/Q209615,Francisco de Zurbarán,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/H%C3%A9rcules%20y%20el%20Cancerbero%2C%20por%20Zurbar%C3%A1n.jpg
http://www.wikidata.org/entity/Q27700870,Hércules desvía el curso del río Alfeo,http://www.wikidata.org/entity/Q209615,Francisco de Zurbarán,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/H%C3%A9rcules%20desv%C3%ADa%20el%20curso%20del%20r%C3%ADo%20Alfeo%2C%20por%20Zurbar%C3%A1n.jpg
http://www.wikidata.org/entity/Q27700873,La recuperación de San Juan de Puerto Rico,http://www.wikidata.org/entity/Q3059605,Eugenio Cajés,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/La%20recuperaci%C3%B3n%20de%20la%20isla%20de%20Puerto%20Rico%20por%20el%20gobernador%20de%20la%20isla%2C%20Juan%20de%20Haro.%20Por%20Eugenio%20Caj%C3%A9s..jpg
http://www.wikidata.org/entity/Q27700875,Rendición de Juliers,http://www.wikidata.org/entity/Q5655766,Jusepe Leonardo,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/La%20rendici%C3%B3n%20de%20Juliers.jpg
http://www.wikidata.org/entity/Q27700880,Hércules luchando con Anteo,http://www.wikidata.org/entity/Q209615,Francisco de Zurbarán,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/H%C3%A9rcules%20luchando%20con%20Anteo%2C%20por%20Zurbar%C3%A1n.jpg
http://www.wikidata.org/entity/Q27700992,Martirio de Santiago,http://www.wikidata.org/entity/Q209615,Francisco de Zurbarán,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Zurbar%C3%A1n%20-%20Martirio%20de%20Santiago%2C%20Hacia%201640.jpg
http://www.wikidata.org/entity/Q27749719,Inmaculada Niña,http://www.wikidata.org/entity/Q209615,Francisco de Zurbarán,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Zurbar%C3%A1n%20-%20Delenda%2C%20248.png
http://www.wikidata.org/entity/Q27750513,San Francisco en oración,http://www.wikidata.org/entity/Q209615,Francisco de Zurbarán,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Zurbar%C3%A1n%20-%20San%20Francisco%20en%20oraci%C3%B3n%2C%201659.jpg
http://www.wikidata.org/entity/Q31187682,Recuperación de la isla de San Cristóbal,http://www.wikidata.org/entity/Q5442161,Félix Castelo,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Recuperaci%C3%B3n%20de%20la%20Isla%20de%20San%20Crist%C3%B3bal%20Lienzo.%20297%20x%20311%20cm.%20Museo%20del%20Prado.jpg
http://www.wikidata.org/entity/Q31187682,Recuperación de la isla de San Cristóbal,http://www.wikidata.org/entity/Q5442161,Félix Castelo,http://www.wikidata.org/entity/Q37853,barroco,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Spanish%20capture%20of%20St%20Kitts.jpg
http://www.wikidata.org/entity/Q18924047,El baño del caballo,http://www.wikidata.org/entity/Q351746,Joaquín Sorolla,http://www.wikidata.org/entity/Q40415,impresionismo,http://www.wikidata.org/entity/Q1592523,Museo Sorolla,http://commons.wikimedia.org/wiki/Special:FilePath/Joaqu%C3%ADn%20Sorolla%20y%20Bastida%20-%20The%20Horse%E2%80%99s%20Bath%20-%20Google%20Art%20Project.jpg
http://www.wikidata.org/entity/Q20014451,Defensa del parque de artillería de Monteleón,http://www.wikidata.org/entity/Q351746,Joaquín Sorolla,http://www.wikidata.org/entity/Q40415,impresionismo,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Dos%20de%20mayo%2C%20por%20Joaqu%C3%ADn%20Sorolla.jpg
http://www.wikidata.org/entity/Q27667725,¡Mira qué bonita era!,http://www.wikidata.org/entity/Q1712402,Julio Romero de Torres,http://www.wikidata.org/entity/Q40415,impresionismo,http://www.wikidata.org/entity/Q460889,Museo Nacional Centro de Arte Reina Sofía,http://commons.wikimedia.org/wiki/Special:FilePath/Mira%20que%20bonita%20era%20by%20Julio%20Romero%20de%20Torres.jpg
http://www.wikidata.org/entity/Q134619370,Violin and Fruit Dish,http://www.wikidata.org/entity/Q151152,Juan Gris,http://www.wikidata.org/entity/Q42934,cubismo,http://www.wikidata.org/entity/Q178065,Centro Pompidou,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Gris%20-%20Violon%20et%20compotier%20%28Violin%20and%20Fruit%20Dish%29%20%281925%29.jpg
http://www.wikidata.org/entity/Q134619504,Harlequin Sitting with Guitar,http://www.wikidata.org/entity/Q151152,Juan Gris,http://www.wikidata.org/entity/Q42934,cubismo,http://www.wikidata.org/entity/Q178065,Centro Pompidou,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Gris%20-%20Arlequin%20assis%20%C3%A0%20la%20guitare%20%281919%29.jpg
http://www.wikidata.org/entity/Q134619550,Pitcher and Fruit Bowl,http://www.wikidata.org/entity/Q151152,Juan Gris,http://www.wikidata.org/entity/Q42934,cubismo,http://www.wikidata.org/entity/Q178065,Centro Pompidou,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Gris%20-%20Broc%20et%20compotier%20%28Pitcher%20and%20Fruit%20Bowl%29%20%281921%29.jpg
